trial_id,run_id,seed,farm_name,is_synthetic,n_turbines,turbine_used
mc_20260807_0627_low_000000,mc_20260807_0627_low/task_0000,0,Vineyard Wind,False,62,GE Haliade-X 13MW  (Vineyard 1)
mc_20260807_0627_low_000000,mc_20260807_0627_low/task_0000,0,Revolution Wind,False,65,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_low_000000,mc_20260807_0627_low/task_0000,0,SouthCoast Wind,True,78,Haliade-X 15.5MW
mc_20260807_0627_low_000000,mc_20260807_0627_low/task_0000,0,South Fork Wind,False,12,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_low_000000,mc_20260807_0627_low/task_0000,0,Sunrise Wind South,False,96,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_low_000000,mc_20260807_0627_low/task_0000,0,Sunrise Wind North,True,2,Haliade-X 13MW
mc_20260807_0627_low_000000,mc_20260807_0627_low/task_0000,0,Revolution Wind North,True,1,Haliade-X 13MW
mc_20260807_0627_low_000000,mc_20260807_0627_low/task_0000,0,Vineyard Northeast,True,205,DTU10MW
mc_20260807_0627_low_000000,mc_20260807_0627_low/task_0000,0,New England Wind 1,True,53,Haliade-X 15.5MW
mc_20260807_0627_low_000000,mc_20260807_0627_low/task_0000,0,New England Wind 2 South,True,41,Haliade-X 15.5MW
mc_20260807_0627_low_000000,mc_20260807_0627_low/task_0000,0,Beacon Wind,True,109,Haliade-X 13MW
mc_20260807_0627_low_000000,mc_20260807_0627_low/task_0000,0,Bay State Wind South,True,196,DTU10MW
mc_20260807_0627_low_000000,mc_20260807_0627_low/task_0000,0,Bay State Wind North,True,1,DTU10MW
mc_20260807_0627_low_000001,mc_20260807_0627_low/task_0000,1,Vineyard Wind,False,62,GE Haliade-X 13MW  (Vineyard 1)
mc_20260807_0627_low_000001,mc_20260807_0627_low/task_0000,1,Revolution Wind,False,65,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_low_000001,mc_20260807_0627_low/task_0000,1,SouthCoast Wind,True,106,Haliade-X 15.5MW
mc_20260807_0627_low_000001,mc_20260807_0627_low/task_0000,1,South Fork Wind,False,12,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_low_000001,mc_20260807_0627_low/task_0000,1,Sunrise Wind South,False,96,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_low_000001,mc_20260807_0627_low/task_0000,1,Sunrise Wind North,True,3,DTU10MW
mc_20260807_0627_low_000001,mc_20260807_0627_low/task_0000,1,Revolution Wind North,True,1,DTU10MW
