trial_id,run_id,seed,wake_model,dt_aep_s,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,full_cluster_aep_gwh,full_cluster_loss_pct,pd_level
mc_20260807_0627_low_000049,mc_20260807_0627_low/task_0009,49,Nygaard_TurboGaussian,7.65,3391.9429298410337,3315.991881425386,2.239,3009.6064707932674,11.272,low
mc_20260807_0627_low_000049,mc_20260807_0627_low/task_0009,49,SuperGaussian,2.43,3449.6304671023486,3444.2455588858356,0.156,3152.194791782116,8.622,low
mc_20260807_0627_low_000050,mc_20260807_0627_low/task_0010,50,Nygaard_TurboGaussian,12.91,3354.4455525445983,3293.5990781161545,1.814,2896.7326035593223,13.645,low
mc_20260807_0627_low_000050,mc_20260807_0627_low/task_0010,50,SuperGaussian,4.57,3407.4583933119993,3403.023754891952,0.13,3045.6792540628253,10.617,low
mc_20260807_0627_low_000051,mc_20260807_0627_low/task_0010,51,Nygaard_TurboGaussian,8.1,3079.685592384501,3024.14910617369,1.803,2670.59152055667,13.284,low
mc_20260807_0627_low_000051,mc_20260807_0627_low/task_0010,51,SuperGaussian,3.56,3128.229543055963,3124.168198967958,0.13,2798.263999852201,10.548,low
mc_20260807_0627_low_000052,mc_20260807_0627_low/task_0010,52,Nygaard_TurboGaussian,4.51,3250.5661889297635,3193.669666171305,1.75,2880.498689311733,11.385,low
mc_20260807_0627_low_000052,mc_20260807_0627_low/task_0010,52,SuperGaussian,2.17,3301.834260862722,3297.724436981718,0.124,3047.5565545760924,7.701,low
mc_20260807_0627_low_000053,mc_20260807_0627_low/task_0010,53,Nygaard_TurboGaussian,9.64,3228.7228022267336,3170.5756026435665,1.801,2841.729238562726,11.986,low
mc_20260807_0627_low_000053,mc_20260807_0627_low/task_0010,53,SuperGaussian,3.8,3281.5680003696493,3277.291189415252,0.13,2990.125688236065,8.881,low
mc_20260807_0627_low_000054,mc_20260807_0627_low/task_0010,54,Nygaard_TurboGaussian,7.8,2983.8374883878273,2935.4515054976846,1.622,2578.5605903759547,13.582,low
mc_20260807_0627_low_000054,mc_20260807_0627_low/task_0010,54,SuperGaussian,1.98,3033.8320682243875,3030.3174528111767,0.116,2711.0309940462876,10.64,low
mc_20260807_0627_low_000055,mc_20260807_0627_low/task_0011,55,Nygaard_TurboGaussian,7.63,2930.3102030033356,2876.878098750301,1.823,2516.7713625619003,14.112,low
mc_20260807_0627_low_000055,mc_20260807_0627_low/task_0011,55,SuperGaussian,2.43,2979.194207313675,2975.3631966715293,0.129,2657.2931009073395,10.805,low
mc_20260807_0627_low_000056,mc_20260807_0627_low/task_0011,56,Nygaard_TurboGaussian,7.42,3240.7659439708564,3189.8801674451306,1.57,2816.8086826804365,13.082,low
mc_20260807_0627_low_000056,mc_20260807_0627_low/task_0011,56,SuperGaussian,2.8,3290.8674693849725,3287.0877423063857,0.115,2958.7273142349713,10.093,low
mc_20260807_0627_low_000057,mc_20260807_0627_low/task_0011,57,Nygaard_TurboGaussian,9.51,3144.969876024169,3074.658039762389,2.236,2715.037634812193,13.67,low
mc_20260807_0627_low_000057,mc_20260807_0627_low/task_0011,57,SuperGaussian,3.31,3201.5480434038845,3196.5813570223895,0.155,2869.565961585684,10.369,low
mc_20260807_0627_low_000058,mc_20260807_0627_low/task_0011,58,Nygaard_TurboGaussian,12.41,3376.781200360275,3322.5288931574255,1.607,2958.8848880325972,12.376,low
mc_20260807_0627_low_000058,mc_20260807_0627_low/task_0011,58,SuperGaussian,3.38,3426.450325460724,3422.516577498681,0.115,3106.116262642691,9.349,low
mc_20260807_0627_low_000059,mc_20260807_0627_low/task_0011,59,Nygaard_TurboGaussian,7.09,3179.308004594693,3101.424156640339,2.45,2768.012030733975,12.937,low
mc_20260807_0627_low_000059,mc_20260807_0627_low/task_0011,59,SuperGaussian,1.76,3237.861768515485,3232.2651006257693,0.173,2935.744889319764,9.331,low
mc_20260807_0627_low_000060,mc_20260807_0627_low/task_0012,60,Nygaard_TurboGaussian,6.52,3235.889465471273,3185.6716337491107,1.552,2890.783691320799,10.665,low
mc_20260807_0627_low_000060,mc_20260807_0627_low/task_0012,60,SuperGaussian,1.93,3287.064107282393,3283.317571587985,0.114,3028.1252222778335,7.878,low
mc_20260807_0627_low_000061,mc_20260807_0627_low/task_0012,61,Nygaard_TurboGaussian,9.43,3104.3655833818666,3044.4961326870507,1.929,2758.3910456870026,11.145,low
mc_20260807_0627_low_000061,mc_20260807_0627_low/task_0012,61,SuperGaussian,2.97,3160.3193904835207,3156.0224922129837,0.136,2894.351336739188,8.416,low
mc_20260807_0627_low_000062,mc_20260807_0627_low/task_0012,62,Nygaard_TurboGaussian,10.3,2956.2638054636573,2900.0046162990425,1.903,2590.100151975223,12.386,low
mc_20260807_0627_low_000062,mc_20260807_0627_low/task_0012,62,SuperGaussian,2.71,3008.9486212672764,3005.0093165604007,0.131,2724.2523570520507,9.462,low
mc_20260807_0627_low_000063,mc_20260807_0627_low/task_0012,63,Nygaard_TurboGaussian,7.57,3730.6883686913934,3665.2315262940297,1.755,3299.6278549803283,11.554,low
mc_20260807_0627_low_000063,mc_20260807_0627_low/task_0012,63,SuperGaussian,2.33,3781.643072413375,3776.877785017383,0.126,3472.426415170098,8.177,low
mc_20260807_0627_low_000064,mc_20260807_0627_low/task_0012,64,Nygaard_TurboGaussian,7.25,3246.178023755756,3196.9775231469803,1.516,2874.540237461241,11.448,low
mc_20260807_0627_low_000064,mc_20260807_0627_low/task_0012,64,SuperGaussian,2.63,3294.781247329122,3291.2234790172542,0.108,2992.092525423058,9.187,low
mc_20260807_0627_low_000065,mc_20260807_0627_low/task_0013,65,Nygaard_TurboGaussian,10.1,3181.230391629047,3120.3198874251993,1.915,2794.07092858343,12.17,low
mc_20260807_0627_low_000065,mc_20260807_0627_low/task_0013,65,SuperGaussian,3.59,3234.134035226113,3229.688258608675,0.137,2927.5321757740367,9.48,low
mc_20260807_0627_low_000066,mc_20260807_0627_low/task_0013,66,Nygaard_TurboGaussian,6.86,3270.9787044353006,3208.479614160842,1.911,2894.428870086209,11.512,low
mc_20260807_0627_low_000066,mc_20260807_0627_low/task_0013,66,SuperGaussian,2.94,3322.6517052594854,3318.079203253661,0.138,3056.2744424981456,8.017,low
mc_20260807_0627_low_000067,mc_20260807_0627_low/task_0013,67,Nygaard_TurboGaussian,8.44,3319.9580886701615,3266.281148956162,1.617,2950.9550806553334,11.115,low
mc_20260807_0627_low_000067,mc_20260807_0627_low/task_0013,67,SuperGaussian,3.21,3370.6009842296835,3366.6995461613856,0.116,3077.1101695394636,8.707,low
mc_20260807_0627_low_000068,mc_20260807_0627_low/task_0013,68,Nygaard_TurboGaussian,8.58,3493.742128317964,3426.3994974410302,1.928,3020.8665678752022,13.535,low
mc_20260807_0627_low_000068,mc_20260807_0627_low/task_0013,68,SuperGaussian,3.44,3548.6971457044187,3543.8642826200107,0.136,3184.2832706910062,10.269,low
mc_20260807_0627_low_000069,mc_20260807_0627_low/task_0013,69,Nygaard_TurboGaussian,6.97,3265.1673114472883,3194.2720662317724,2.171,2851.325046396256,12.674,low
mc_20260807_0627_low_000069,mc_20260807_0627_low/task_0013,69,SuperGaussian,2.78,3324.1144893396213,3319.014678953786,0.153,3007.3230532151247,9.53,low
mc_20260807_0627_low_000070,mc_20260807_0627_low/task_0014,70,Nygaard_TurboGaussian,12.58,3153.685407348322,3092.7386980943343,1.933,2706.5852106588422,14.177,low
mc_20260807_0627_low_000070,mc_20260807_0627_low/task_0014,70,SuperGaussian,4.18,3206.025685601145,3201.5979614864546,0.138,2855.5831148042607,10.931,low
mc_20260807_0627_low_000071,mc_20260807_0627_low/task_0014,71,Nygaard_TurboGaussian,8.29,3299.6122596656683,3236.2256291593303,1.921,2902.591633768745,12.032,low
mc_20260807_0627_low_000071,mc_20260807_0627_low/task_0014,71,SuperGaussian,3.29,3353.747307336743,3349.218677664823,0.135,3044.2209507906073,9.229,low
mc_20260807_0627_low_000072,mc_20260807_0627_low/task_0014,72,Nygaard_TurboGaussian,9.49,3269.4998094770763,3209.0098514490264,1.85,2879.5751132090263,11.926,low
mc_20260807_0627_low_000072,mc_20260807_0627_low/task_0014,72,SuperGaussian,3.6,3322.7344684246573,3318.298412127318,0.134,3028.0995758324,8.867,low
mc_20260807_0627_low_000073,mc_20260807_0627_low/task_0014,73,Nygaard_TurboGaussian,8.28,3265.9423628049176,3198.152177359679,2.076,2888.3243989441844,11.562,low
mc_20260807_0627_low_000073,mc_20260807_0627_low/task_0014,73,SuperGaussian,3.27,3319.593473005838,3314.7994131038704,0.144,3034.690803084405,8.582,low
mc_20260807_0627_low_000074,mc_20260807_0627_low/task_0014,74,Nygaard_TurboGaussian,6.52,3232.4274614032247,3168.096069162578,1.99,2814.0578711511343,12.943,low
mc_20260807_0627_low_000074,mc_20260807_0627_low/task_0014,74,SuperGaussian,1.83,3285.90453930094,3281.2000989005583,0.143,2966.38282381507,9.724,low
mc_20260807_0627_low_000075,mc_20260807_0627_low/task_0015,75,Nygaard_TurboGaussian,10.03,3245.1678637012305,3185.834955805398,1.828,2824.9257854198886,12.95,low
mc_20260807_0627_low_000075,mc_20260807_0627_low/task_0015,75,SuperGaussian,2.47,3296.919578124711,3292.6110771755075,0.131,2975.012377885081,9.764,low
mc_20260807_0627_low_000076,mc_20260807_0627_low/task_0015,76,Nygaard_TurboGaussian,7.6,3387.0903594441215,3313.381609490397,2.176,2984.8600238411855,11.875,low
mc_20260807_0627_low_000076,mc_20260807_0627_low/task_0015,76,SuperGaussian,2.05,3440.4454017393596,3435.0834843663683,0.156,3155.9751508948066,8.268,low
mc_20260807_0627_low_000077,mc_20260807_0627_low/task_0015,77,Nygaard_TurboGaussian,8.91,3203.1185690752573,3141.067800735436,1.937,2770.053134964015,13.52,low
mc_20260807_0627_low_000077,mc_20260807_0627_low/task_0015,77,SuperGaussian,2.73,3257.580498764092,3253.0440136631064,0.139,2921.080251823162,10.33,low
mc_20260807_0627_low_000078,mc_20260807_0627_low/task_0015,78,Nygaard_TurboGaussian,8.55,3317.9055344178696,3258.447656227788,1.792,2935.725241326419,11.519,low
mc_20260807_0627_low_000078,mc_20260807_0627_low/task_0015,78,SuperGaussian,2.92,3369.00611623739,3364.6765492011223,0.129,3081.5706762023865,8.532,low
