eval,time_s,iter,obj,aep,rms_viol,x,y
1,0.0,0,-481.7883972212651,481.7883972212651,5.38429972148999,1982.872;2549.332;1047.257;1838.979;3214.609;3226.655;452.107;746.074;185.282;1586.915;107.554;1644.600;2336.919;1002.554;2434.518;2127.106;86.335;2011.875;933.309;1494.364;1020.690;2495.297;1585.633;564.724;1960.736;2809.133;1102.909;799.048;1396.697;3370.981;3513.584;2420.581;3250.203;3044.703;1360.779;331.981;2352.279;2008.227;1301.633;810.196;1463.472;1688.185;969.248;1050.454;1647.671;3097.922;2110.510;1020.556;1000.719;1636.639;739.477;724.963;1850.526;314.026;1740.908;1303.834;2547.672;2688.286;2487.935;2481.049;1344.960;2405.285;1223.455;2062.058;1172.906;1602.522;221.504;873.632;3497.769;830.103;2489.319;2341.717;2606.181;1710.319;2147.990;241.090;261.224;716.314;546.700;360.376;465.458;1991.800;676.133;3427.564;2453.802;1947.671;2545.850;949.992;3336.212;3021.095;2614.750;1728.864;3031.571;2681.108;2377.173;3290.311;2281.196;1317.386;1990.240;706.970,691.460;2612.411;2825.772;3499.554;3063.497;1956.940;323.247;1759.944;3340.571;2835.426;1746.339;1639.006;784.749;637.968;265.045;3212.615;2304.636;515.996;1490.857;176.792;753.744;2630.549;2344.042;1724.322;989.210;2348.003;3443.218;1567.874;252.477;207.833;298.336;3454.946;1946.739;3014.865;612.121;937.242;2491.119;3224.053;1226.479;232.824;3110.831;1047.141;2667.897;568.921;2501.868;3029.111;2617.747;1292.787;2616.083;502.082;1129.749;1510.498;3157.963;553.465;3168.449;2876.272;3497.847;1323.731;737.783;866.053;2980.306;3474.821;2515.716;1736.989;1033.379;3001.276;3139.846;331.674;777.418;2994.340;3053.894;1132.751;1005.461;1550.934;1942.007;344.041;3012.884;1925.046;2789.884;831.011;3475.056;2703.698;1235.138;3414.700;2521.842;3026.020;163.790;200.310;2673.854;1096.871;1860.424;562.545;3520.629;1809.904;2984.404;266.536;1724.096;224.206;3183.269;1604.917
2,1.7005443572998047,1,-494.5258394369673,494.5258394369673,3.463783743993369,1998.872;2565.332;1031.257;1822.979;3230.609;3210.655;436.107;762.074;169.282;1570.915;91.554;1628.600;2320.919;986.554;2418.518;2143.106;70.335;2027.875;949.309;1510.364;1036.690;2479.297;1601.633;548.724;1976.736;2793.133;1118.909;815.048;1412.697;3386.981;3529.584;2404.581;3266.203;3028.703;1376.779;315.981;2336.279;1992.227;1317.633;794.196;1447.472;1704.185;953.248;1066.454;1631.671;3081.922;2126.510;1036.556;1016.719;1620.639;755.477;708.963;1834.526;298.026;1724.908;1287.834;2563.672;2704.286;2503.935;2465.049;1360.960;2389.285;1239.455;2078.058;1156.906;1586.522;205.504;857.632;3481.769;814.103;2505.319;2325.717;2590.181;1726.319;2163.990;257.090;277.224;732.314;562.700;376.376;481.458;1975.800;660.133;3443.564;2437.802;1963.671;2561.850;965.992;3352.212;3037.095;2598.750;1744.864;3047.571;2697.108;2361.173;3274.311;2265.196;1301.386;1974.240;690.970,675.460;2628.411;2841.772;3515.554;3079.497;1972.940;339.247;1775.944;3356.571;2851.426;1730.339;1655.006;800.749;621.968;281.045;3228.615;2320.636;499.996;1474.857;160.792;769.744;2646.549;2360.042;1708.322;973.210;2364.003;3427.218;1583.874;268.477;191.833;314.336;3438.946;1930.739;2998.865;596.121;953.242;2475.119;3240.053;1210.479;216.824;3126.831;1063.141;2683.897;552.921;2517.868;3045.111;2601.747;1276.787;2600.083;486.082;1113.749;1494.498;3141.963;569.465;3152.449;2860.272;3513.847;1307.731;721.783;882.053;2996.306;3490.821;2499.716;1720.989;1017.379;3017.276;3155.846;347.674;761.418;3010.340;3069.894;1148.751;1021.461;1534.934;1958.007;328.041;2996.884;1941.046;2773.884;815.011;3459.056;2719.698;1251.138;3398.700;2505.842;3010.020;147.790;184.310;2657.854;1112.871;1876.424;578.545;3536.629;1793.904;2968.404;282.536;1708.096;208.206;3167.269;1588.917
3,3.5459957122802734,2,-500.9603245253013,500.9603245253013,2.1954448936103343,1996.288;2580.679;1024.342;1837.917;3246.835;3194.811;450.204;756.519;154.290;1586.119;75.238;1612.312;2317.189;970.230;2419.981;2158.149;67.606;2043.278;952.712;1526.132;1052.863;2462.995;1617.706;538.946;1962.779;2786.019;1132.915;831.164;1428.756;3403.253;3545.420;2408.100;3282.141;3012.512;1361.106;299.677;2320.429;1975.965;1333.835;781.139;1463.290;1688.561;936.946;1082.779;1620.766;3065.711;2127.477;1049.091;1032.969;1604.515;760.781;692.652;1820.945;281.777;1708.825;1271.511;2568.275;2707.386;2508.695;2448.727;1353.216;2381.202;1255.651;2064.585;1140.823;1570.385;199.882;873.110;3465.458;823.955;2509.922;2316.290;2603.994;1742.626;2152.340;242.675;282.691;716.962;548.301;392.700;490.529;1973.355;656.933;3455.741;2453.306;1979.855;2563.708;969.801;3342.654;3053.296;2582.459;1761.103;3063.858;2713.376;2357.111;3258.069;2277.609;1285.256;1989.565;674.956,664.030;2619.331;2827.712;3531.767;3095.823;1989.198;323.562;1781.992;3351.964;2835.854;1745.916;1671.273;793.383;605.689;288.874;3213.033;2307.939;483.676;1465.890;144.492;785.944;2662.609;2344.204;1692.508;957.383;2351.770;3420.637;1599.740;284.803;175.520;330.652;3423.035;1914.461;2982.832;611.434;969.444;2458.975;3256.185;1195.009;200.688;3142.938;1064.549;2700.154;536.869;2533.911;3056.119;2596.474;1292.239;2583.802;469.757;1108.849;1478.427;3125.654;581.743;3167.894;2844.435;3522.269;1303.576;720.751;889.352;2990.584;3507.143;2508.209;1735.871;1031.986;3024.384;3159.745;361.897;745.096;3026.662;3077.751;1137.725;1032.399;1518.630;1973.479;342.086;2993.356;1943.357;2757.721;798.823;3470.161;2724.525;1255.043;3383.066;2491.466;2993.931;139.569;176.452;2668.165;1128.985;1892.719;594.827;3552.786;1777.637;2957.784;298.850;1692.055;191.916;3181.219;1604.660
4,5.4157257080078125,3,-504.92889699598203,504.92889699598203,0.976413680367226,1980.629;2596.769;1040.348;1853.496;3251.642;3178.443;457.162;759.861;138.831;1601.029;59.935;1609.596;2312.364;954.134;2424.693;2162.657;82.928;2059.697;952.359;1528.883;1053.293;2446.537;1634.112;522.877;1947.833;2770.046;1129.809;846.704;1438.156;3406.914;3553.492;2420.987;3298.486;2996.729;1346.042;296.330;2304.180;1968.399;1332.358;777.254;1449.982;1678.302;920.540;1099.195;1604.928;3076.069;2122.384;1065.092;1049.422;1601.593;757.155;694.251;1836.763;272.269;1692.748;1268.103;2569.543;2698.126;2513.426;2440.201;1350.304;2370.082;1258.976;2049.703;1144.013;1586.205;205.412;875.034;3450.880;836.643;2512.502;2329.934;2619.517;1743.469;2139.885;226.349;285.194;700.629;531.956;397.319;477.005;1975.873;655.327;3442.840;2469.727;1975.487;2561.583;971.101;3357.539;3064.392;2580.605;1764.931;3062.806;2716.511;2356.622;3255.483;2291.237;1282.363;1997.047;658.686,678.095;2603.692;2843.660;3547.238;3103.856;2005.522;307.141;1783.904;3337.769;2821.384;1761.542;1676.642;785.853;618.972;296.337;3214.700;2292.492;477.171;1453.430;138.913;788.841;2673.769;2337.002;1676.069;957.348;2352.447;3436.206;1603.685;290.048;166.040;346.651;3407.185;1898.144;2966.659;627.826;971.972;2443.091;3271.894;1180.528;199.303;3159.114;1049.390;2698.505;520.999;2528.554;3072.358;2585.142;1304.848;2567.581;467.374;1110.556;1463.267;3112.285;596.459;3184.304;2842.798;3533.963;1311.638;722.291;892.900;2986.564;3523.235;2501.829;1747.709;1024.661;3008.352;3160.895;364.512;731.969;3030.412;3083.404;1123.472;1021.919;1513.158;1980.454;358.373;2996.384;1959.400;2741.362;794.195;3485.916;2732.580;1259.229;3398.576;2498.177;2985.196;132.666;170.424;2652.730;1142.789;1899.947;593.775;3553.731;1769.928;2953.532;306.064;1680.340;184.904;3168.232;1621.020
5,7.318852663040161,4,-506.96430533892425,506.96430533892425,0.20428277605415118,1973.748;2603.061;1043.513;1868.862;3254.262;3172.860;469.627;756.439;123.136;1587.185;67.603;1607.605;2304.491;953.771;2423.332;2165.078;67.471;2074.485;952.138;1533.470;1046.601;2441.737;1625.345;506.712;1960.642;2785.607;1132.083;851.349;1429.977;3406.233;3568.495;2437.212;3303.808;2980.388;1331.172;288.015;2301.924;1955.245;1326.016;769.547;1444.341;1664.031;916.225;1103.004;1619.418;3091.882;2126.116;1074.139;1050.614;1601.848;767.934;688.211;1840.872;272.184;1689.203;1263.847;2571.562;2713.789;2517.987;2453.651;1363.008;2354.201;1248.115;2033.320;1157.874;1591.963;190.394;870.329;3439.747;852.736;2519.710;2314.787;2635.794;1742.851;2155.727;211.427;300.842;684.139;515.719;397.902;487.873;1982.419;643.045;3441.721;2471.720;1976.086;2566.523;974.175;3373.406;3058.606;2581.420;1767.668;3074.245;2717.219;2355.397;3254.214;2307.587;1283.497;2012.423;670.286,693.862;2591.540;2851.149;3559.675;3116.015;2013.197;299.387;1784.157;3345.779;2806.793;1777.476;1676.136;796.187;627.424;292.497;3226.805;2305.108;484.555;1438.252;136.165;794.182;2682.292;2324.123;1691.921;973.268;2336.669;3452.664;1592.009;292.388;160.756;354.786;3390.996;1891.880;2950.292;619.393;970.792;2427.900;3288.077;1164.186;205.810;3162.817;1032.973;2699.414;511.703;2514.848;3088.774;2574.077;1298.198;2562.935;462.753;1119.350;1462.380;3097.007;581.224;3193.861;2835.361;3523.679;1327.768;722.117;891.486;2973.308;3539.640;2516.946;1754.711;1038.431;3006.164;3153.307;366.581;745.119;3015.532;3092.601;1107.336;1005.700;1512.426;1965.704;355.160;3009.630;1975.302;2725.571;794.167;3488.071;2735.445;1265.118;3411.007;2509.620;2980.494;127.483;166.375;2641.692;1156.455;1905.936;583.531;3565.724;1766.826;2958.158;308.666;1664.919;173.242;3152.568;1617.263
6,9.02764892578125,5,-508.58074357867633,508.58074357867633,0.0379579125896691,1989.301;2619.102;1054.576;1855.686;3264.560;3163.173;454.477;771.708;109.177;1602.485;68.801;1607.891;2313.341;946.363;2430.427;2165.270;52.338;2059.851;950.544;1536.885;1036.953;2438.144;1613.285;501.961;1971.070;2769.851;1148.182;854.458;1443.415;3411.177;3584.591;2432.945;3315.669;2976.015;1330.259;298.319;2308.381;1939.354;1338.922;771.160;1442.535;1679.827;911.510;1108.609;1629.862;3094.260;2114.852;1058.869;1054.907;1609.540;753.565;700.937;1845.416;287.757;1685.423;1262.822;2572.230;2730.161;2508.155;2440.557;1347.708;2355.418;1231.846;2029.811;1173.212;1585.724;202.288;860.532;3424.419;836.995;2519.935;2329.350;2634.952;1731.149;2141.925;197.133;294.482;676.065;499.226;385.353;483.112;1997.190;653.177;3457.715;2456.042;1981.396;2563.269;966.196;3389.137;3058.412;2581.324;1767.835;3058.574;2724.904;2369.066;3247.628;2294.630;1287.121;2028.870;668.090,708.156;2607.255;2847.276;3575.792;3120.480;2004.670;283.717;1795.323;3331.726;2819.825;1792.878;1688.891;805.514;625.342;303.696;3243.083;2321.338;468.849;1427.483;123.567;785.958;2682.496;2326.826;1695.599;964.216;2320.197;3468.216;1590.822;303.592;159.110;340.470;3382.502;1899.545;2943.867;633.017;980.043;2418.579;3304.478;1177.110;203.780;3171.734;1042.696;2695.300;512.149;2499.309;3093.411;2558.620;1282.044;2565.168;469.217;1106.302;1446.512;3094.601;594.489;3178.598;2837.785;3522.358;1341.598;707.744;898.782;2987.417;3548.090;2502.645;1770.691;1023.696;2994.109;3167.113;363.537;736.990;2999.546;3108.420;1122.985;990.494;1503.559;1972.130;369.078;3009.503;1988.870;2712.251;787.766;3503.723;2751.104;1280.599;3424.280;2494.320;2984.913;114.008;154.500;2627.348;1172.747;1912.788;588.751;3568.311;1760.505;2946.003;308.723;1648.525;159.746;3136.161;1632.885
7,10.89397644996643,6,-509.75649678975503,509.75649678975503,0.0,2004.909;2625.368;1043.030;1854.796;3277.776;3171.027;467.187;760.331;92.810;1603.869;52.877;1597.754;2297.317;948.052;2442.642;2177.767;59.504;2074.158;966.123;1552.178;1031.965;2439.475;1596.973;494.435;1957.588;2771.541;1140.058;853.047;1429.702;3424.592;3570.421;2444.630;3309.849;2982.203;1346.303;311.385;2297.369;1930.420;1324.284;761.687;1450.940;1685.696;923.206;1106.720;1646.104;3087.222;2125.486;1046.287;1040.684;1601.758;761.045;710.416;1833.380;272.162;1686.273;1265.143;2564.496;2719.357;2495.461;2456.583;1341.024;2351.252;1217.454;2014.215;1189.659;1582.616;211.425;846.570;3439.748;837.830;2504.623;2318.935;2650.923;1740.626;2125.825;180.748;308.525;664.152;488.939;393.932;471.789;1987.021;637.743;3460.224;2454.100;1965.393;2573.626;967.822;3395.661;3074.221;2569.450;1752.518;3042.155;2734.490;2385.187;3248.793;2306.832;1300.194;2045.124;668.937,692.978;2608.365;2856.645;3589.654;3122.730;2016.774;273.683;1809.086;3315.545;2807.689;1809.321;1684.927;789.498;638.189;317.698;3250.991;2336.062;468.256;1415.009;116.872;790.725;2674.512;2311.134;1684.788;979.056;2303.706;3484.360;1606.183;303.967;143.398;356.047;3376.022;1886.916;2937.403;619.192;983.165;2420.279;3305.389;1193.292;189.475;3167.940;1032.615;2706.799;500.238;2512.578;3100.092;2572.502;1266.983;2550.877;463.453;1119.640;1439.072;3093.090;580.750;3187.164;2841.960;3537.731;1326.533;694.209;914.914;2998.523;3555.380;2489.346;1785.715;1007.277;2998.853;3165.654;376.984;721.110;3013.804;3124.894;1120.648;976.154;1499.124;1958.651;382.341;3024.240;1979.755;2696.557;780.846;3515.980;2749.264;1293.582;3440.628;2489.646;2968.869;104.680;149.442;2616.520;1162.817;1925.595;597.344;3555.227;1767.085;2929.686;310.564;1652.210;143.966;3149.465;1637.284
8,12.785290479660034,7,-511.57805281810727,511.57805281810727,0.072851705951954,2020.993;2625.643;1042.757;1870.347;3289.762;3165.857;463.091;747.330;93.069;1618.870;64.146;1611.749;2295.185;933.459;2427.691;2187.744;44.136;2070.970;976.304;1560.554;1047.892;2425.099;1580.666;489.693;1942.827;2783.251;1154.794;861.266;1438.805;3427.856;3582.954;2439.863;3317.217;2976.340;1359.913;308.706;2295.200;1922.507;1340.014;745.858;1456.203;1670.906;914.302;1100.746;1659.988;3086.739;2111.313;1029.968;1040.464;1610.611;750.183;716.115;1821.812;258.884;1680.199;1250.191;2580.083;2733.906;2502.836;2459.488;1345.075;2339.312;1203.644;1998.986;1204.308;1566.966;226.321;859.274;3451.768;825.090;2513.848;2330.469;2650.482;1744.687;2139.317;164.698;294.516;648.311;493.685;380.934;455.557;2001.866;622.079;3476.302;2459.443;1959.995;2588.738;983.185;3411.745;3087.112;2557.268;1750.683;3027.555;2739.278;2396.511;3233.848;2296.410;1286.342;2053.942;679.504,681.570;2606.380;2849.646;3604.460;3137.422;2013.039;257.453;1821.917;3330.379;2802.216;1798.397;1688.181;792.823;630.779;303.912;3266.750;2350.044;456.570;1429.423;106.113;798.404;2689.051;2296.344;1677.903;993.761;2292.586;3500.387;1616.770;289.342;142.816;343.195;3382.371;1887.545;2929.503;632.367;981.667;2404.432;3310.667;1206.942;195.566;3182.113;1016.387;2721.969;506.622;2515.927;3107.315;2558.083;1253.620;2550.912;447.552;1114.386;1434.038;3085.755;564.704;3177.030;2847.161;3537.932;1341.618;678.058;917.213;3002.894;3559.720;2495.456;1802.130;1013.694;2995.214;3172.081;367.899;736.384;3006.626;3123.744;1130.969;990.495;1483.495;1942.309;398.693;3010.759;1985.521;2681.141;769.792;3532.255;2762.331;1307.851;3449.135;2500.931;2966.198;94.944;164.231;2627.861;1147.075;1941.640;607.176;3569.089;1781.584;2925.331;326.479;1637.163;142.348;3150.379;1637.818
9,14.493369340896606,8,-513.6783622796987,513.6783622796987,0.04026388872346037,2026.532;2622.108;1033.458;1855.268;3304.764;3151.308;447.537;751.901;107.396;1633.432;50.579;1619.005;2296.700;941.117;2428.063;2195.679;28.171;2086.390;961.512;1562.444;1042.562;2412.391;1570.996;481.220;1926.450;2795.675;1140.294;873.778;1453.216;3441.647;3596.229;2424.638;3331.964;2974.390;1352.446;292.771;2305.073;1935.661;1335.367;729.954;1468.382;1655.200;919.976;1114.086;1675.736;3080.899;2109.446;1043.977;1039.273;1613.529;747.893;732.217;1806.789;272.198;1669.020;1238.151;2585.047;2745.584;2518.317;2456.960;1360.344;2348.777;1207.302;2005.444;1204.591;1550.955;214.494;870.544;3441.215;810.728;2529.756;2324.707;2651.983;1730.462;2136.401;148.248;292.840;639.693;477.960;393.239;441.528;2014.446;605.819;3489.592;2466.440;1950.462;2597.836;973.449;3418.215;3094.005;2569.881;1741.044;3041.299;2753.321;2395.087;3223.210;2309.604;1285.459;2060.699;674.949,665.300;2619.946;2834.483;3590.701;3145.947;2018.911;269.232;1838.206;3328.692;2787.152;1783.910;1701.602;795.526;619.823;288.292;3252.844;2344.016;469.917;1436.060;89.898;812.951;2678.952;2280.899;1675.737;987.632;2302.334;3506.117;1607.812;275.689;134.902;349.428;3390.908;1875.550;2932.371;648.711;993.321;2388.613;3323.401;1192.984;191.079;3195.115;1029.254;2725.789;512.209;2530.193;3120.889;2561.578;1268.666;2546.653;432.513;1098.493;1449.840;3069.690;558.832;3180.181;2863.271;3546.325;1355.179;688.703;916.284;3017.865;3563.540;2479.622;1792.830;1004.928;2999.711;3159.935;352.855;735.886;3010.142;3126.997;1118.755;992.288;1472.020;1943.807;389.148;3000.845;1972.935;2690.049;759.445;3548.709;2749.948;1291.833;3446.594;2498.846;2971.321;93.298;150.652;2643.874;1160.250;1957.747;614.525;3585.437;1769.201;2914.266;323.147;1632.608;148.942;3147.262;1635.504
10,16.353789567947388,9,-514.9691799679495,514.9691799679495,0.0698360038866353,2042.647;2611.911;1049.500;1867.674;3320.349;3140.357;431.090;744.619;123.027;1643.097;34.514;1633.969;2301.380;925.905;2443.615;2205.370;11.895;2088.704;971.808;1578.259;1053.850;2426.931;1554.933;465.708;1938.269;2787.931;1129.550;867.922;1468.706;3456.465;3599.790;2420.858;3344.063;2958.608;1336.827;305.021;2319.226;1942.822;1348.701;738.977;1484.661;1658.495;903.948;1130.435;1692.052;3095.170;2093.477;1030.339;1025.481;1598.251;763.746;733.652;1790.406;259.156;1684.619;1228.186;2573.225;2733.399;2502.833;2455.437;1345.224;2364.936;1211.244;2021.432;1188.871;1535.804;218.226;886.782;3456.203;794.433;2527.889;2339.196;2667.939;1714.157;2120.617;134.012;282.965;654.661;477.678;401.373;425.257;2029.384;605.066;3505.484;2480.057;1937.209;2605.373;957.298;3434.124;3110.007;2584.473;1728.186;3050.679;2768.963;2398.014;3207.581;2295.529;1294.031;2070.598;663.908,649.763;2635.563;2850.438;3604.963;3130.011;2033.903;260.698;1848.791;3344.094;2770.807;1777.823;1717.887;793.415;610.857;272.744;3262.713;2359.720;455.396;1450.982;84.864;824.548;2669.836;2264.602;1660.074;999.763;2287.189;3521.870;1622.563;281.567;124.727;352.906;3383.916;1861.981;2946.995;654.034;1009.601;2374.608;3332.769;1195.237;176.035;3192.377;1026.812;2709.722;497.311;2515.012;3137.143;2565.197;1267.151;2534.542;437.089;1082.612;1453.006;3053.220;548.050;3194.779;2849.260;3562.497;1371.315;701.027;919.935;3007.755;3574.775;2476.843;1777.110;989.947;3015.798;3170.428;354.422;730.452;3025.074;3112.684;1118.803;987.253;1465.997;1959.841;400.670;2984.887;1988.442;2674.273;743.204;3562.124;2762.962;1287.593;3459.062;2487.373;2975.261;95.556;151.475;2647.216;1152.736;1969.231;630.684;3596.291;1754.606;2905.699;315.286;1617.025;133.041;3137.267;1644.050
11,18.239465951919556,10,-516.966136443985,516.966136443985,0.29069384696313993,2032.419;2627.443;1053.749;1852.591;3336.663;3155.053;414.674;758.682;112.723;1659.309;18.177;1622.641;2296.734;919.730;2430.614;2221.510;21.630;2104.059;964.250;1593.763;1049.424;2419.411;1562.029;450.705;1948.184;2803.609;1133.366;883.637;1462.398;3460.821;3615.712;2405.216;3357.499;2943.240;1322.341;303.052;2335.492;1929.976;1365.009;724.575;1495.454;1674.411;898.332;1116.897;1680.423;3111.225;2085.852;1040.295;1009.122;1613.672;769.694;724.179;1794.095;244.917;1699.742;1211.967;2588.674;2718.881;2513.350;2466.457;1357.249;2352.294;1227.332;2030.258;1172.422;1520.622;234.034;903.092;3444.234;778.338;2542.891;2324.072;2675.864;1720.718;2128.999;121.630;271.643;639.401;461.950;417.541;408.885;2019.789;611.377;3499.964;2466.370;1921.161;2621.469;969.265;3420.092;3094.476;2571.279;1712.161;3066.553;2785.408;2382.277;3210.332;2280.130;1279.242;2056.525;651.485,638.514;2646.017;2849.280;3596.997;3122.550;2038.277;244.525;1864.383;3356.883;2782.284;1764.608;1706.506;807.973;626.561;256.318;3270.660;2370.011;466.274;1466.741;93.158;840.798;2654.465;2248.155;1664.821;1015.624;2278.376;3524.228;1610.588;266.928;108.810;368.219;3399.178;1871.591;2956.173;655.937;1000.274;2361.309;3334.359;1210.947;187.506;3208.129;1010.853;2708.163;480.900;2498.662;3133.387;2578.368;1252.107;2521.279;422.800;1080.973;1460.021;3058.266;562.749;3182.024;2862.976;3557.543;1375.423;686.179;905.637;2991.531;3590.976;2492.099;1792.061;974.414;3027.309;3154.895;349.039;745.640;3041.295;3097.935;1121.406;1003.172;1481.258;1960.370;416.943;2992.466;2004.203;2666.143;730.283;3576.830;2747.483;1284.581;3475.305;2502.141;2966.661;111.551;136.066;2648.067;1136.795;1954.222;637.825;3612.152;1739.131;2915.329;299.496;1623.027;140.120;3144.665;1634.100
12,20.15554189682007,11,-518.2376344795259,518.2376344795259,0.14208740564577504,2031.659;2641.833;1037.987;1849.652;3346.938;3142.315;406.470;774.989;124.847;1657.684;17.945;1638.012;2284.212;916.203;2426.663;2227.007;6.700;2114.234;949.265;1600.529;1033.333;2403.284;1547.099;448.707;1932.331;2799.357;1135.773;899.531;1476.193;3476.837;3600.295;2419.831;3373.755;2928.094;1306.183;317.678;2340.527;1935.349;1369.335;711.971;1480.436;1660.605;897.110;1129.982;1689.855;3122.638;2070.678;1055.954;1000.931;1628.783;754.327;720.996;1778.204;255.484;1683.819;1227.971;2598.215;2702.510;2528.356;2457.532;1345.254;2336.824;1217.596;2017.309;1174.168;1534.926;218.399;895.408;3458.416;778.857;2551.939;2330.244;2683.574;1731.904;2143.235;105.433;287.523;623.588;447.566;420.892;414.306;2032.090;603.593;3498.485;2482.062;1937.111;2637.910;964.321;3433.425;3107.560;2586.469;1725.099;3082.953;2801.884;2365.901;3194.895;2264.250;1262.886;2064.309;635.353,653.444;2646.764;2838.851;3595.802;3136.937;2048.272;241.581;1872.835;3372.984;2772.020;1780.262;1691.116;795.504;620.444;245.776;3257.348;2375.876;450.544;1452.976;108.754;830.317;2670.474;2253.788;1649.332;1014.440;2279.515;3540.119;1625.001;267.534;95.071;365.833;3405.626;1887.339;2941.346;640.537;1013.334;2350.892;3349.402;1226.506;174.823;3217.400;1018.758;2705.543;470.041;2507.733;3117.613;2593.276;1245.693;2504.999;435.701;1096.216;1463.080;3042.292;555.500;3198.015;2879.328;3569.880;1365.147;680.796;891.729;2977.580;3607.034;2504.022;1787.540;982.468;3039.815;3167.009;364.721;759.545;3028.017;3112.465;1137.479;999.346;1467.223;1974.426;407.010;2983.712;2020.322;2678.360;714.404;3566.234;2746.658;1274.619;3491.092;2486.224;2950.532;127.986;119.640;2664.114;1129.487;1949.512;634.673;3596.574;1723.584;2931.512;283.593;1633.586;140.207;3157.405;1631.502
13,21.875763654708862,12,-519.2374775080582,519.2374775080582,0.19751899576570756,2042.167;2646.330;1034.132;1863.363;3363.074;3126.581;419.270;760.388;109.478;1661.276;3.377;1647.966;2276.870;900.272;2412.162;2242.175;-7.196;2100.729;953.219;1585.468;1028.670;2397.624;1531.003;433.393;1934.379;2815.045;1119.921;913.010;1492.523;3493.241;3588.204;2421.122;3388.746;2939.183;1289.836;334.063;2356.110;1919.946;1384.824;720.370;1484.975;1669.128;885.190;1142.236;1704.983;3116.063;2086.498;1069.832;991.989;1643.263;739.278;735.515;1783.991;262.064;1680.322;1215.840;2592.026;2712.424;2544.089;2461.202;1361.209;2337.249;1207.039;2001.083;1186.472;1529.957;218.151;880.001;3473.940;794.523;2537.943;2315.739;2699.599;1717.307;2159.506;89.187;280.308;635.335;461.249;407.963;408.830;2016.140;588.525;3482.651;2488.806;1936.683;2653.682;948.699;3449.694;3123.700;2587.309;1714.566;3069.859;2792.047;2377.575;3206.534;2254.044;1247.105;2080.160;618.898,667.707;2661.063;2830.873;3611.798;3151.970;2033.332;254.603;1857.268;3363.420;2755.891;1778.736;1706.134;779.303;604.808;229.634;3241.325;2359.940;463.597;1436.630;93.236;822.209;2674.446;2238.802;1648.259;1002.062;2264.199;3542.549;1639.353;262.549;78.759;358.234;3396.546;1872.935;2926.226;654.647;1028.963;2334.753;3347.156;1242.518;158.726;3210.327;1011.867;2708.068;453.889;2523.670;3116.002;2577.247;1229.987;2491.879;421.441;1092.267;1455.791;3049.582;539.420;3204.795;2863.894;3586.068;1348.933;682.761;906.756;2993.518;3599.031;2517.992;1798.865;998.254;3024.152;3177.479;379.027;745.090;3043.620;3099.261;1149.780;983.725;1475.521;1978.938;391.779;2967.649;2036.630;2664.411;729.215;3578.590;2762.709;1288.090;3507.526;2485.099;2945.626;144.370;103.431;2680.415;1144.721;1964.768;618.618;3602.458;1707.208;2915.837;298.520;1617.943;155.864;3149.768;1615.799
14,23.74827766418457,13,-520.3187540384092,520.3187540384092,0.29303746053100355,2026.442;2636.855;1034.781;1879.231;3377.427;3136.437;433.907;750.184;93.622;1677.310;-12.981;1633.074;2292.392;884.633;2395.866;2233.351;8.342;2114.655;937.488;1600.912;1022.840;2384.366;1516.207;417.016;1936.426;2831.200;1103.520;924.780;1478.659;3503.054;3595.654;2430.320;3400.585;2935.904;1297.024;326.767;2372.271;1912.666;1388.668;734.684;1473.156;1685.272;869.697;1135.845;1695.694;3127.918;2094.341;1059.707;1007.735;1631.717;722.901;743.679;1786.173;246.330;1678.678;1212.179;2587.054;2721.067;2558.808;2467.277;1365.267;2323.329;1197.606;2000.525;1202.379;1516.417;205.595;891.348;3471.569;788.773;2553.452;2299.450;2713.650;1701.205;2167.623;78.382;294.818;646.531;453.360;416.901;414.838;2015.222;601.380;3497.122;2492.817;1934.447;2666.236;952.564;3450.774;3137.484;2603.014;1705.123;3074.640;2789.885;2393.447;3192.424;2269.360;1259.451;2067.354;619.642,683.282;2647.782;2825.761;3598.145;3162.600;2047.276;242.485;1851.355;3348.298;2768.383;1772.706;1698.585;780.829;594.880;231.172;3226.957;2349.473;465.085;1420.327;82.693;807.576;2680.223;2245.039;1663.864;985.879;2248.370;3558.484;1632.875;251.440;82.255;373.852;3410.404;1873.342;2922.828;669.108;1019.023;2320.778;3360.520;1229.794;171.133;3226.106;1026.786;2719.563;466.989;2508.979;3103.419;2573.688;1243.775;2489.918;422.623;1080.616;1470.786;3047.944;533.010;3202.518;2862.547;3573.854;1333.541;667.241;894.855;2995.812;3614.159;2533.988;1812.710;1014.682;3011.473;3164.645;364.983;728.725;3051.321;3108.249;1164.958;997.424;1477.046;1994.741;378.249;2954.834;2046.729;2668.327;720.367;3593.955;2764.569;1296.035;3503.563;2484.883;2946.709;143.829;87.677;2678.564;1159.563;1964.804;604.829;3587.766;1707.013;2923.184;285.621;1613.911;171.688;3138.956;1605.958
