trial_id,run_id,seed,wake_model,dt_aep_s,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,full_cluster_aep_gwh,full_cluster_loss_pct
mc_20260807_0627_medium_000055,mc_20260807_0627_medium/task_0011,55,Nygaard_TurboGaussian,17.09,2930.3102030033356,2876.878098750301,1.823,2491.8709139073826,14.962
mc_20260807_0627_medium_000055,mc_20260807_0627_medium/task_0011,55,SuperGaussian,4.64,2979.194207313675,2975.3631966715293,0.129,2639.380273837937,11.406
mc_20260807_0627_medium_000056,mc_20260807_0627_medium/task_0011,56,Nygaard_TurboGaussian,6.74,3240.7659439708564,3189.8801674451306,1.57,2816.808653302738,13.082
mc_20260807_0627_medium_000056,mc_20260807_0627_medium/task_0011,56,SuperGaussian,2.42,3290.8674693849725,3287.0877423063857,0.115,2958.65707523935,10.095
mc_20260807_0627_medium_000057,mc_20260807_0627_medium/task_0011,57,Nygaard_TurboGaussian,17.22,3144.969876024169,3074.658039762389,2.236,2688.2721096546065,14.522
mc_20260807_0627_medium_000057,mc_20260807_0627_medium/task_0011,57,SuperGaussian,5.96,3201.5480434038845,3196.5813570223895,0.155,2850.806437916074,10.955
mc_20260807_0627_medium_000058,mc_20260807_0627_medium/task_0011,58,Nygaard_TurboGaussian,21.51,3376.781200360275,3322.5288931574255,1.607,2926.451993311146,13.336
mc_20260807_0627_medium_000058,mc_20260807_0627_medium/task_0011,58,SuperGaussian,8.08,3426.450325460724,3422.516577498681,0.115,3078.20344440042,10.163
mc_20260807_0627_medium_000059,mc_20260807_0627_medium/task_0011,59,Nygaard_TurboGaussian,9.03,3179.308004594693,3101.424156640339,2.45,2759.279613920414,13.211
mc_20260807_0627_medium_000059,mc_20260807_0627_medium/task_0011,59,SuperGaussian,2.44,3237.861768515485,3232.2651006257693,0.173,2930.287720100614,9.499
