trial_id,run_id,seed,wake_model,dt_aep_s,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,full_cluster_aep_gwh,full_cluster_loss_pct
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,Nygaard_TurboGaussian,16.8,3314.2098080915707,3257.1766224824323,1.721,2834.943166715755,14.461
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,SuperGaussian,4.43,3367.846444124601,3363.7375331049866,0.122,2967.584115139333,11.885
mc_20260807_0627_high_000081,mc_20260807_0627_high/task_0016,81,Nygaard_TurboGaussian,7.71,3497.907225410885,3437.2676214671346,1.734,3090.97593412286,11.634
mc_20260807_0627_high_000081,mc_20260807_0627_high/task_0016,81,SuperGaussian,2.36,3547.6952843567183,3543.2474243557635,0.125,3244.5108259423887,8.546
mc_20260807_0627_high_000082,mc_20260807_0627_high/task_0016,82,Nygaard_TurboGaussian,14.41,3347.672210211841,3263.979510387526,2.5,2881.7974424239746,13.916
mc_20260807_0627_high_000082,mc_20260807_0627_high/task_0016,82,SuperGaussian,4.2,3407.69436400669,3401.6961451990396,0.176,3075.9704266737754,9.735
mc_20260807_0627_high_000083,mc_20260807_0627_high/task_0016,83,Nygaard_TurboGaussian,12.14,3071.2101010254974,3020.9085484071475,1.638,2676.0501371854953,12.867
mc_20260807_0627_high_000083,mc_20260807_0627_high/task_0016,83,SuperGaussian,3.47,3121.4899097109283,3117.857452218803,0.116,2803.6351968358795,10.183
mc_20260807_0627_high_000084,mc_20260807_0627_high/task_0016,84,Nygaard_TurboGaussian,7.22,3210.0034018959786,3161.23203635602,1.519,2829.797210387146,11.844
mc_20260807_0627_high_000084,mc_20260807_0627_high/task_0016,84,SuperGaussian,2.09,3256.893580385972,3253.343430779545,0.109,2973.425047248341,8.704
