trial_id,run_id,seed,wake_model,dt_aep_s,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,full_cluster_aep_gwh,full_cluster_loss_pct
mc_20260807_0627_low_000029,mc_20260807_0627_low/task_0005,29,Nygaard_TurboGaussian,10.69,3255.9445078506733,3195.741050566068,1.849,2867.6477666753963,11.926
mc_20260807_0627_low_000029,mc_20260807_0627_low/task_0005,29,SuperGaussian,2.42,3308.5193555934884,3304.172570754918,0.131,3022.531901579943,8.644
mc_20260807_0627_low_000030,mc_20260807_0627_low/task_0006,30,Nygaard_TurboGaussian,7.13,3486.98105413868,3427.3981702767546,1.709,3056.198737157837,12.354
mc_20260807_0627_low_000030,mc_20260807_0627_low/task_0006,30,SuperGaussian,1.68,3538.372341321712,3534.0465909122595,0.122,3197.0408047728806,9.647
mc_20260807_0627_low_000031,mc_20260807_0627_low/task_0006,31,Nygaard_TurboGaussian,7.83,3304.7024137411695,3246.672808045315,1.756,2921.4769027925477,11.596
mc_20260807_0627_low_000031,mc_20260807_0627_low/task_0006,31,SuperGaussian,2.53,3356.856038577885,3352.592838263604,0.127,3066.0612003414126,8.663
mc_20260807_0627_low_000032,mc_20260807_0627_low/task_0006,32,Nygaard_TurboGaussian,7.63,3389.785768398916,3317.110554291311,2.144,3010.387316231759,11.192
mc_20260807_0627_low_000032,mc_20260807_0627_low/task_0006,32,SuperGaussian,2.58,3443.34185615724,3438.124179703594,0.152,3172.4466637789264,7.867
mc_20260807_0627_low_000033,mc_20260807_0627_low/task_0006,33,Nygaard_TurboGaussian,10.49,3151.9649361056095,3089.071653635685,1.995,2695.2190869866417,14.491
mc_20260807_0627_low_000033,mc_20260807_0627_low/task_0006,33,SuperGaussian,3.46,3206.4920727160625,3201.9545899420627,0.142,2870.4744597826902,10.479
mc_20260807_0627_low_000034,mc_20260807_0627_low/task_0006,34,Nygaard_TurboGaussian,10.13,3015.6765617012406,2957.686901643756,1.923,2571.113493733932,14.742
mc_20260807_0627_low_000034,mc_20260807_0627_low/task_0006,34,SuperGaussian,2.55,3068.970165288336,3064.768578670215,0.137,2701.8667616610264,11.962
mc_20260807_0627_low_000035,mc_20260807_0627_low/task_0007,35,Nygaard_TurboGaussian,8.2,3155.122673892889,3091.672137341118,2.011,2695.0467047872758,14.582
mc_20260807_0627_low_000035,mc_20260807_0627_low/task_0007,35,SuperGaussian,2.73,3208.912780406658,3204.420639253378,0.14,2871.963192566751,10.5
mc_20260807_0627_low_000036,mc_20260807_0627_low/task_0007,36,Nygaard_TurboGaussian,9.57,3210.649726025416,3159.4659763045674,1.594,2852.7163935806275,11.148
mc_20260807_0627_low_000036,mc_20260807_0627_low/task_0007,36,SuperGaussian,3.5,3260.2660477120326,3256.5273876005904,0.115,2996.468976969372,8.091
mc_20260807_0627_low_000037,mc_20260807_0627_low/task_0007,37,Nygaard_TurboGaussian,5.63,3134.271398730084,3067.418477422104,2.133,2718.818628684495,13.255
mc_20260807_0627_low_000037,mc_20260807_0627_low/task_0007,37,SuperGaussian,2.4,3188.0440710221205,3183.342564477073,0.147,2900.2630398377505,9.027
mc_20260807_0627_low_000038,mc_20260807_0627_low/task_0007,38,Nygaard_TurboGaussian,6.63,3308.863441351129,3248.120756778001,1.836,2873.219791011415,13.166
mc_20260807_0627_low_000038,mc_20260807_0627_low/task_0007,38,SuperGaussian,2.56,3360.6399749793336,3356.192912591642,0.132,3041.652512785631,9.492
mc_20260807_0627_low_000039,mc_20260807_0627_low/task_0007,39,Nygaard_TurboGaussian,4.76,3362.8520691132635,3305.6937107998647,1.7,2984.8090494943663,11.242
mc_20260807_0627_low_000039,mc_20260807_0627_low/task_0007,39,SuperGaussian,2.43,3413.988447968456,3409.7465399860776,0.124,3137.9762304905,8.085
mc_20260807_0627_low_000040,mc_20260807_0627_low/task_0008,40,Nygaard_TurboGaussian,9.23,3046.9740241686086,2997.4701032034645,1.625,2667.5587282690617,12.452
mc_20260807_0627_low_000040,mc_20260807_0627_low/task_0008,40,SuperGaussian,2.22,3093.8024311629115,3090.1630089752307,0.118,2802.44812693554,9.417
mc_20260807_0627_low_000041,mc_20260807_0627_low/task_0008,41,Nygaard_TurboGaussian,11.19,3129.638664624212,3070.1662191851756,1.9,2734.760538008577,12.617
mc_20260807_0627_low_000041,mc_20260807_0627_low/task_0008,41,SuperGaussian,3.44,3182.430444191097,3178.2173276788435,0.132,2885.5116749138247,9.33
mc_20260807_0627_low_000042,mc_20260807_0627_low/task_0008,42,Nygaard_TurboGaussian,6.09,2983.0747012285738,2919.809292589117,2.121,2610.985018817687,12.473
mc_20260807_0627_low_000042,mc_20260807_0627_low/task_0008,42,SuperGaussian,1.95,3035.7941594900003,3031.254359283372,0.15,2764.3431445573333,8.942
mc_20260807_0627_low_000043,mc_20260807_0627_low/task_0008,43,Nygaard_TurboGaussian,7.11,3373.8093818567804,3313.3257293480206,1.793,3012.9731901682485,10.695
mc_20260807_0627_low_000043,mc_20260807_0627_low/task_0008,43,SuperGaussian,2.46,3426.6739990676397,3422.261604095957,0.129,3180.119530692827,7.195
mc_20260807_0627_low_000044,mc_20260807_0627_low/task_0008,44,Nygaard_TurboGaussian,8.47,3263.6630413985977,3196.294604731005,2.064,2803.7173056523134,14.093
mc_20260807_0627_low_000044,mc_20260807_0627_low/task_0008,44,SuperGaussian,2.22,3318.2392273898367,3313.4420596298723,0.145,2975.985828558034,10.314
mc_20260807_0627_low_000045,mc_20260807_0627_low/task_0009,45,Nygaard_TurboGaussian,11.72,3165.5371143503903,3112.9786347602508,1.66,2759.0503233729783,12.841
mc_20260807_0627_low_000045,mc_20260807_0627_low/task_0009,45,SuperGaussian,3.0,3215.5307552519325,3211.698941784799,0.119,2879.20415609549,10.459
mc_20260807_0627_low_000046,mc_20260807_0627_low/task_0009,46,Nygaard_TurboGaussian,9.26,3264.7074763887877,3193.680909178718,2.176,2842.8988712802147,12.92
mc_20260807_0627_low_000046,mc_20260807_0627_low/task_0009,46,SuperGaussian,2.66,3318.7886150226677,3313.6872686414076,0.154,3001.0646915343104,9.573
mc_20260807_0627_low_000047,mc_20260807_0627_low/task_0009,47,Nygaard_TurboGaussian,6.89,3272.051745569774,3213.72784618529,1.782,2913.2931209768126,10.964
mc_20260807_0627_low_000047,mc_20260807_0627_low/task_0009,47,SuperGaussian,1.82,3322.8126380454064,3318.6499016061075,0.125,3065.541762973236,7.743
mc_20260807_0627_low_000048,mc_20260807_0627_low/task_0009,48,Nygaard_TurboGaussian,8.25,3312.3323643463086,3241.04160722292,2.152,2903.349840036325,12.347
mc_20260807_0627_low_000048,mc_20260807_0627_low/task_0009,48,SuperGaussian,2.08,3366.6749735600833,3361.5461421388454,0.152,3049.0344150902647,9.435
mc_20260807_0627_low_000049,mc_20260807_0627_low/task_0009,49,Nygaard_TurboGaussian,7.65,3391.9429298410337,3315.991881425386,2.239,3009.6064707932674,11.272
mc_20260807_0627_low_000049,mc_20260807_0627_low/task_0009,49,SuperGaussian,2.43,3449.6304671023486,3444.2455588858356,0.156,3152.1947917821158,8.622
mc_20260807_0627_low_000050,mc_20260807_0627_low/task_0010,50,Nygaard_TurboGaussian,12.91,3354.4455525445983,3293.5990781161545,1.814,2896.7326035593223,13.645
