eval,time_s,iter,obj,aep,rms_viol,x,y
1,0.0,0,-496.22987886907555,496.22987886907555,5.040248920037172,1501.279;2593.168;0.412;1088.397;528.321;332.419;670.537;1244.019;1428.363;1939.740;1509.100;2466.790;736.028;3161.223;98.595;2413.683;1502.297;2011.283;505.393;713.165;2882.680;3485.742;1128.327;2492.361;3155.001;3220.584;306.159;140.597;611.390;3161.313;354.049;1515.987;3448.402;1919.395;2490.758;1135.856;2471.403;3004.652;65.838;2700.520;3559.900;2693.396;1009.598;2841.406;371.614;1612.417;3270.944;1057.011;1035.991;468.103;69.721;2443.808;761.861;955.968;1769.663;192.105;2066.823;528.223;2121.500;2519.130;368.404;1490.602;2499.841;1491.045;179.832;1929.227;2389.661;1853.601;3400.541;2111.598;3252.247;494.909;501.395;2906.609;1431.637;595.275;3339.031;1251.957;2702.924;2613.593;3179.902;2245.220;2703.393;1256.034;971.740;3225.190;1541.128;3473.424;2388.389;2238.105;413.086;3418.161;1619.684;2082.203;1469.292;853.297;3252.166;2065.246;10.333;2221.722,1175.922;1897.409;3189.392;1286.171;3270.727;2244.096;56.956;3345.974;2487.229;3590.362;620.426;493.689;3357.344;2508.545;237.601;2719.667;2713.954;3322.888;2561.489;447.375;71.568;94.360;101.903;886.360;3096.101;1939.792;1990.159;3031.311;447.024;1005.061;2108.733;3490.545;2019.709;67.130;2882.278;838.707;2905.579;1396.298;3108.751;2689.638;2002.465;491.239;215.704;436.836;160.387;386.979;812.554;2566.760;2014.981;45.202;259.107;3482.195;2045.162;731.856;908.373;2677.773;703.546;2092.892;3492.072;3048.584;863.452;1777.571;2231.841;2984.331;564.449;66.874;252.080;1750.842;2182.786;2047.865;1142.505;3559.018;2087.083;1368.508;1983.414;2683.204;2409.238;953.710;238.805;1332.303;2266.983;756.626;2709.920;239.531;937.134;2897.116;696.363;2302.059;1888.813;3329.309;947.868;237.460;2646.237;2779.841;3268.137;3355.099;50.226;843.704;2220.402;3416.459
2,1.6904380321502686,1,-509.4199015304812,509.4199015304812,3.4115587234779814,1517.279;2609.168;-15.588;1104.397;512.321;316.419;686.537;1228.019;1412.363;1955.740;1493.100;2482.790;720.028;3177.223;114.595;2429.683;1486.297;1995.283;489.393;729.165;2866.680;3501.742;1144.327;2476.361;3171.001;3204.584;290.159;156.597;595.390;3177.313;338.049;1531.987;3432.402;1903.395;2506.758;1119.856;2455.403;3020.652;49.838;2684.520;3575.900;2677.396;993.598;2857.406;355.614;1596.417;3286.944;1041.011;1051.991;484.103;53.721;2459.808;745.861;939.968;1785.663;176.105;2050.823;544.223;2105.500;2535.130;352.404;1474.602;2515.841;1475.045;195.832;1945.227;2373.661;1869.601;3384.541;2095.598;3236.247;510.909;517.395;2890.609;1415.637;611.275;3323.031;1267.957;2718.924;2629.593;3163.902;2229.220;2719.393;1240.034;955.740;3241.190;1557.128;3489.424;2372.389;2254.105;429.086;3402.161;1635.684;2066.203;1453.292;869.297;3236.166;2081.246;26.333;2237.722,1191.922;1881.409;3205.392;1302.171;3286.727;2260.096;40.956;3329.974;2503.229;3606.362;604.426;477.689;3341.344;2524.545;221.601;2735.667;2729.954;3306.888;2545.489;463.375;55.568;78.360;85.903;870.360;3112.101;1955.792;1974.159;3015.311;463.024;989.061;2092.733;3506.545;2035.709;51.130;2866.278;854.707;2889.579;1412.298;3092.751;2673.638;1986.465;507.239;231.704;420.836;176.387;370.979;828.554;2550.760;1998.981;29.202;275.107;3498.195;2029.162;715.856;924.373;2693.773;687.546;2108.892;3508.072;3064.584;847.452;1761.571;2247.841;3000.331;548.449;82.874;268.080;1766.842;2166.786;2063.865;1158.505;3575.018;2071.083;1352.508;1999.414;2699.204;2393.238;969.710;254.805;1348.303;2282.983;740.626;2725.920;255.531;953.134;2913.116;712.363;2318.059;1904.813;3313.309;963.868;253.460;2630.237;2763.841;3284.137;3339.099;66.226;859.704;2236.402;3432.459
3,3.5151147842407227,2,-515.763439979271,515.763439979271,1.985974348462023,1533.328;2625.468;-30.809;1088.698;502.573;318.647;702.733;1219.544;1426.367;1947.469;1476.778;2467.079;703.839;3190.685;130.155;2413.758;1479.624;2010.984;481.738;745.330;2873.504;3506.247;1160.439;2460.286;3187.246;3188.601;275.164;172.820;579.207;3193.457;345.212;1525.849;3416.868;1887.154;2523.039;1132.698;2442.425;3036.872;33.545;2668.237;3592.065;2674.296;1009.202;2864.394;349.516;1580.460;3301.380;1024.758;1067.901;488.946;38.266;2476.074;761.518;955.661;1801.979;160.437;2065.840;558.076;2089.271;2531.657;336.082;1480.800;2508.711;1486.381;211.056;1961.494;2387.538;1855.385;3369.262;2079.937;3221.282;505.692;508.014;2874.429;1431.230;616.485;3306.756;1282.178;2705.834;2614.661;3147.910;2213.088;2735.644;1223.715;939.414;3227.170;1573.455;3497.637;2387.780;2269.173;445.408;3402.962;1639.229;2051.858;1464.342;885.481;3220.046;2097.267;42.659;2253.983,1178.402;1896.023;3221.595;1318.451;3302.815;2263.158;50.839;3345.009;2489.303;3596.148;588.195;492.755;3325.040;2539.809;205.319;2719.736;2735.960;3290.580;2543.372;479.578;39.670;76.465;69.741;886.246;3128.390;1972.005;1958.113;2999.226;447.248;976.035;2108.571;3521.962;2019.832;35.012;2880.644;868.993;2904.581;1428.625;3076.464;2657.383;1970.319;513.515;242.925;417.446;179.434;377.059;838.934;2534.654;1982.960;23.625;291.376;3514.485;2040.882;705.492;940.696;2684.771;682.784;2125.219;3524.173;3070.439;831.280;1745.252;2263.209;3016.646;563.871;98.981;252.293;1783.168;2179.936;2048.210;1174.831;3587.445;2054.787;1336.197;2015.490;2702.952;2377.182;986.017;270.984;1333.475;2270.588;724.317;2742.157;271.476;938.850;2904.746;728.618;2322.715;1889.426;3297.143;980.079;256.449;2627.745;2747.799;3270.162;3355.031;54.346;864.323;2244.154;3448.704
4,5.3651721477508545,3,-519.1392559876774,519.1392559876774,1.0151782038863963,1540.972;2622.395;-45.867;1073.439;518.151;303.232;702.282;1234.661;1413.783;1931.410;1471.342;2470.708;699.043;3201.115;146.541;2409.861;1476.746;2000.081;476.194;749.306;2858.501;3510.506;1150.991;2443.991;3201.566;3175.728;271.580;189.115;574.785;3208.944;355.050;1511.499;3414.578;1870.830;2538.050;1147.633;2426.285;3041.216;17.104;2651.774;3595.997;2674.244;1023.521;2868.143;350.959;1595.879;3287.316;1010.093;1056.555;485.656;21.905;2492.226;770.464;954.004;1817.193;173.496;2049.819;574.118;2102.301;2521.751;331.908;1465.207;2515.871;1472.624;196.709;1977.799;2373.772;1865.175;3361.343;2091.297;3236.200;489.976;492.669;2871.565;1447.579;618.250;3319.933;1277.979;2709.638;2608.123;3134.900;2229.045;2752.103;1235.570;923.273;3211.180;1577.038;3507.222;2375.525;2284.561;447.847;3406.674;1643.667;2039.631;1454.796;890.131;3206.622;2108.723;59.121;2252.866,1163.702;1894.532;3237.902;1331.624;3318.677;2279.089;39.326;3335.321;2472.978;3612.116;585.595;502.065;3310.278;2551.438;189.287;2715.333;2734.964;3288.706;2541.784;490.788;32.388;73.757;60.172;901.043;3140.573;1961.838;1950.962;2983.194;444.946;987.279;2094.644;3538.356;2019.328;18.617;2873.941;871.602;2913.512;1434.898;3060.001;2641.063;1963.985;518.006;232.594;408.471;180.003;393.146;823.188;2522.103;1994.656;18.100;307.482;3518.835;2025.622;712.285;938.710;2700.423;668.183;2141.593;3512.241;3074.879;825.804;1740.800;2278.698;3004.164;578.438;115.401;251.639;1789.636;2180.982;2044.585;1163.992;3603.263;2038.401;1331.303;2004.014;2706.838;2390.003;1001.679;287.334;1328.665;2282.035;739.756;2758.504;275.666;923.609;2888.598;732.917;2323.933;1901.261;3280.750;985.353;255.972;2630.219;2759.442;3268.516;3369.665;40.799;869.384;2260.258;3465.103
5,7.251429796218872,4,-522.6248681297013,522.6248681297013,0.4829556030688201,1527.995;2637.187;-32.629;1082.784;521.681;295.838;701.381;1229.452;1405.174;1926.298;1471.932;2458.654;696.573;3185.398;148.720;2402.715;1468.722;1998.404;467.347;751.962;2842.069;3506.133;1165.010;2431.387;3215.426;3159.447;259.915;194.881;569.766;3225.308;339.230;1497.523;3420.308;1854.413;2554.263;1132.512;2409.836;3043.901;11.503;2635.305;3598.519;2668.154;1008.858;2877.923;353.835;1602.817;3273.809;993.850;1065.818;483.048;16.883;2504.537;786.625;970.023;1812.076;158.270;2047.686;590.515;2088.959;2522.834;328.209;1479.034;2500.167;1468.048;210.916;1994.223;2382.059;1852.921;3361.857;2107.571;3232.111;473.555;505.848;2873.542;1438.505;632.306;3308.896;1293.966;2724.534;2592.548;3118.569;2231.071;2768.574;1221.936;907.055;3225.675;1581.643;3520.653;2359.594;2298.211;450.612;3419.152;1653.531;2043.407;1469.038;891.059;3192.791;2101.759;45.612;2268.672,1176.879;1879.465;3241.578;1345.129;3303.528;2283.148;24.456;3341.420;2456.565;3610.643;585.479;512.179;3323.445;2559.462;184.165;2713.126;2739.587;3298.859;2548.995;506.275;16.456;71.040;46.973;917.223;3156.564;1976.604;1943.538;2980.304;431.361;996.799;2102.659;3550.205;2016.643;2.229;2858.706;887.461;2927.537;1440.742;3052.530;2624.726;1957.325;511.712;220.128;417.961;182.884;377.606;808.419;2534.938;1979.002;5.824;313.148;3525.946;2032.889;701.088;923.801;2696.380;656.757;2157.970;3523.916;3074.548;827.054;1724.987;2292.837;2988.760;575.627;131.776;237.214;1805.443;2183.149;2030.008;1157.096;3595.222;2021.904;1327.288;1996.412;2706.364;2404.946;991.401;301.640;1337.203;2266.815;751.165;2774.887;291.155;928.462;2872.519;735.910;2327.461;1915.004;3277.283;988.342;258.457;2625.600;2774.268;3261.472;3386.080;24.450;872.499;2248.573;3459.207
6,8.954785823822021,5,-524.1184348450936,524.1184348450936,0.28277520128754235,1542.503;2633.176;-17.648;1098.961;505.929;303.485;716.970;1236.223;1412.730;1926.092;1486.110;2473.922;699.791;3197.869;146.714;2392.571;1479.661;2013.862;457.330;742.794;2856.666;3515.756;1157.912;2417.330;3201.932;3148.426;265.909;199.140;573.647;3233.305;331.804;1499.902;3423.051;1847.310;2570.585;1148.122;2393.439;3044.586;6.227;2627.290;3601.754;2674.243;1005.858;2888.103;343.193;1618.615;3270.492;977.788;1057.635;470.650;9.624;2520.822;791.189;954.914;1796.078;160.465;2047.177;594.962;2083.910;2538.358;316.448;1488.670;2510.447;1457.614;227.296;2000.999;2369.166;1836.862;3352.460;2122.911;3219.589;462.565;511.403;2878.618;1443.478;643.817;3312.425;1283.354;2709.532;2590.009;3102.138;2231.637;2776.017;1209.988;898.536;3241.519;1571.936;3535.844;2347.005;2284.418;455.083;3428.420;1654.221;2059.322;1456.586;889.703;3177.404;2085.606;29.560;2272.254,1164.155;1894.525;3243.363;1361.499;3316.180;2285.594;8.109;3357.556;2463.786;3603.879;576.959;528.428;3338.777;2573.917;183.844;2718.889;2755.079;3283.904;2548.125;521.025;15.189;60.419;37.071;917.539;3172.542;1992.411;1934.409;2973.650;415.217;983.748;2108.572;3565.846;2009.803;-0.167;2842.356;873.735;2943.789;1454.606;3057.273;2621.132;1947.192;524.923;203.805;404.571;192.520;368.018;812.775;2519.355;1992.068;-0.919;317.425;3510.104;2017.599;716.865;907.373;2710.621;652.383;2163.316;3530.103;3083.581;834.475;1711.421;2277.408;2994.749;559.569;131.764;246.755;1796.207;2182.756;2044.173;1142.697;3608.552;2014.156;1322.285;2011.458;2701.150;2421.343;1006.832;287.017;1323.041;2279.493;762.127;2775.864;297.992;912.945;2883.919;739.045;2313.744;1899.292;3276.328;993.292;258.962;2610.542;2758.911;3250.124;3372.001;35.474;878.746;2263.625;3461.458
7,10.803433179855347,6,-526.0746776376238,526.0746776376238,0.3456227951461271,1556.403;2618.120;-3.642;1086.228;490.213;306.176;712.469;1220.190;1428.903;1916.034;1492.383;2486.949;690.687;3213.933;135.150;2382.169;1478.743;2006.556;469.705;746.488;2869.498;3530.496;1141.911;2432.391;3204.556;3141.173;261.498;204.682;569.859;3249.458;325.109;1485.848;3430.983;1844.267;2574.267;1143.070;2387.662;3042.071;-3.339;2629.989;3613.197;2668.790;1020.140;2903.375;355.590;1605.808;3254.385;991.426;1073.597;455.253;14.423;2534.547;806.396;963.579;1808.154;168.785;2044.623;599.286;2086.255;2545.209;324.511;1504.540;2495.162;1441.470;223.779;2004.724;2361.570;1825.944;3346.074;2137.383;3203.439;468.159;516.697;2871.770;1427.638;641.957;3296.768;1294.594;2694.844;2574.280;3086.355;2233.326;2777.790;1221.864;882.613;3250.656;1570.099;3551.693;2362.579;2285.290;442.095;3441.534;1651.290;2075.799;1472.000;899.196;3162.779;2069.600;13.141;2274.624,1177.189;1910.133;3246.657;1375.122;3332.513;2283.344;12.497;3349.856;2449.321;3589.045;569.599;543.599;3324.554;2590.194;169.171;2711.583;2770.175;3289.651;2549.938;536.883;19.317;56.185;21.067;931.455;3189.021;1988.320;1925.926;2979.069;424.421;967.647;2116.636;3551.124;1994.801;-2.180;2841.033;885.550;2948.459;1454.603;3043.211;2621.175;1947.665;517.867;189.755;412.196;208.316;351.909;827.326;2518.335;2003.695;-4.009;326.069;3522.912;2005.718;718.323;892.015;2700.601;646.041;2167.010;3540.220;3082.485;828.031;1695.543;2289.433;2980.852;553.779;135.929;231.613;1809.096;2188.840;2029.394;1158.778;3593.153;2011.196;1306.788;1997.688;2687.841;2406.497;996.571;270.666;1337.504;2266.211;770.213;2778.184;288.845;916.207;2872.099;749.658;2327.155;1890.102;3274.648;1000.990;254.589;2608.657;2744.797;3266.064;3380.921;21.462;892.983;2261.051;3466.960
8,12.681486368179321,7,-527.2891050405422,527.2891050405422,0.11959635503592862,1572.145;2632.459;7.284;1086.781;474.519;292.762;727.917;1206.279;1419.864;1907.145;1478.364;2497.530;686.906;3225.553;128.217;2366.069;1465.333;2020.260;462.093;759.747;2862.254;3546.391;1154.062;2448.756;3220.576;3125.052;270.730;197.494;553.956;3242.554;316.836;1501.667;3438.971;1836.731;2577.711;1131.907;2384.810;3057.045;-8.499;2633.639;3599.283;2682.332;1008.365;2919.464;345.195;1612.951;3265.603;1007.242;1086.236;465.428;26.510;2529.606;821.589;976.470;1810.666;154.132;2036.554;610.547;2082.848;2561.289;335.297;1519.563;2479.429;1453.416;208.310;2012.634;2345.417;1811.980;3330.899;2122.544;3208.820;484.246;512.604;2861.530;1415.294;657.137;3306.640;1310.665;2679.386;2579.979;3072.379;2231.731;2778.526;1217.954;866.419;3235.518;1584.213;3566.863;2376.518;2273.342;426.710;3456.378;1665.768;2062.562;1462.422;903.616;3151.710;2057.625;0.906;2283.589,1163.857;1919.576;3255.287;1390.560;3327.483;2290.368;28.526;3364.824;2459.676;3591.191;572.624;559.715;3323.548;2600.792;154.622;2716.404;2785.858;3302.740;2565.861;525.983;3.497;70.081;7.138;947.257;3203.699;1998.587;1914.828;2973.883;440.056;980.349;2118.902;3534.935;2006.868;5.341;2838.068;901.592;2949.808;1439.496;3034.952;2618.291;1931.986;501.713;203.259;400.343;203.913;337.556;811.260;2531.665;2017.366;7.763;334.796;3536.517;1992.798;702.912;877.408;2685.693;656.218;2173.448;3544.429;3066.963;813.053;1679.168;2279.514;2994.382;569.328;133.823;215.860;1825.356;2203.756;2017.855;1163.085;3595.345;2011.870;1292.737;1981.796;2671.483;2393.936;981.207;281.544;1352.717;2273.780;759.929;2780.552;280.256;920.306;2887.437;760.647;2319.889;1886.197;3274.281;1016.853;239.976;2592.919;2747.872;3262.813;3395.791;35.907;908.332;2245.874;3471.384
9,14.382204532623291,8,-529.4498543118551,529.4498543118551,0.3381423862048185,1556.967;2647.491;-0.427;1072.129;484.881;276.515;743.886;1198.572;1434.278;1896.404;1492.592;2481.926;700.399;3241.833;112.369;2364.466;1470.641;2005.614;474.381;744.854;2853.254;3556.746;1149.297;2463.138;3219.417;3109.080;286.928;209.503;566.616;3235.470;308.303;1491.894;3423.132;1830.799;2582.749;1140.646;2381.675;3071.725;6.294;2622.197;3612.431;2675.078;1023.179;2927.749;330.871;1628.929;3278.821;1016.139;1102.064;455.356;14.990;2545.112;809.357;963.162;1795.003;138.356;2049.001;610.809;2090.444;2549.097;331.411;1531.331;2493.623;1439.498;220.595;2019.603;2350.924;1795.601;3346.494;2135.713;3220.027;470.157;524.619;2845.952;1425.423;653.600;3291.558;1313.923;2690.461;2564.546;3080.512;2230.838;2792.234;1202.343;875.706;3241.165;1569.669;3571.759;2362.499;2288.278;411.116;3472.267;1678.305;2057.806;1458.492;905.844;3135.694;2072.243;-15.319;2284.206,1147.642;1908.150;3269.698;1406.994;3333.461;2277.293;18.172;3357.303;2445.029;3576.627;556.896;545.937;3309.357;2616.964;160.510;2701.062;2779.795;3304.248;2570.720;539.905;3.036;55.820;16.127;933.133;3218.110;2014.793;1900.888;2989.318;428.014;983.484;2132.378;3547.986;1991.298;-2.917;2830.002;887.133;2959.036;1441.646;3019.445;2622.996;1944.881;505.035;187.584;415.368;214.494;341.182;807.002;2547.098;2030.332;3.787;337.349;3527.986;2004.032;686.517;891.637;2669.272;651.060;2185.161;3558.049;3066.810;824.464;1662.695;2263.553;2979.413;556.002;120.673;203.924;1841.830;2210.276;2032.989;1167.092;3606.639;2000.950;1278.072;1980.990;2676.592;2386.258;994.290;267.882;1352.745;2258.782;772.937;2780.818;296.124;936.408;2903.865;776.473;2334.257;1870.491;3284.391;1032.076;252.252;2602.146;2762.772;3276.804;3396.782;26.433;924.192;2241.735;3486.473
10,16.2257719039917,9,-530.851226370111,530.851226370111,0.3499529696679852,1540.806;2662.827;-1.970;1087.278;494.581;260.316;760.336;1213.632;1450.672;1897.285;1499.959;2488.478;695.194;3241.564;97.089;2378.122;1486.476;1995.075;459.989;742.067;2837.055;3572.971;1160.926;2450.279;3226.017;3118.016;274.239;198.296;569.460;3231.056;324.151;1476.420;3416.482;1841.026;2578.522;1156.838;2387.180;3066.610;-5.356;2615.080;3599.761;2666.326;1028.287;2927.617;345.928;1616.589;3294.765;1032.161;1087.153;439.205;-0.289;2554.086;817.066;946.814;1802.912;123.075;2063.096;595.004;2092.576;2533.681;347.170;1547.611;2484.628;1423.124;234.800;2010.434;2338.655;1780.872;3352.676;2130.595;3214.549;474.141;540.917;2858.340;1409.978;638.222;3282.905;1326.011;2704.403;2548.793;3095.918;2217.177;2804.848;1186.121;860.601;3256.424;1582.174;3561.863;2358.154;2282.947;394.695;3460.134;1663.036;2073.382;1447.339;920.539;3150.823;2088.513;-0.615;2294.070,1162.068;1923.764;3270.780;1393.629;3349.170;2293.310;3.678;3341.185;2428.628;3589.862;562.658;561.232;3292.984;2620.073;145.827;2684.848;2793.671;3320.007;2556.349;526.288;-12.999;47.081;0.416;948.797;3234.469;2031.256;1892.376;2975.780;431.181;984.086;2116.370;3563.933;2000.287;-16.277;2845.079;870.782;2962.767;1457.610;3033.735;2612.803;1929.983;489.342;190.229;431.513;230.113;339.962;804.152;2532.785;2046.563;-12.308;352.404;3543.822;1988.699;701.400;879.170;2672.804;635.139;2201.448;3543.848;3082.738;814.074;1650.249;2276.870;2980.370;540.177;132.851;187.698;1853.790;2194.484;2043.023;1165.612;3591.248;1984.830;1261.672;1967.256;2692.511;2402.085;995.406;254.580;1367.133;2248.829;768.704;2766.397;312.392;952.353;2916.441;774.075;2343.042;1854.096;3269.298;1047.680;268.379;2617.480;2749.622;3292.454;3412.639;40.925;940.572;2225.937;3501.919
11,18.091989994049072,10,-532.8501525291932,532.8501525291932,0.3491690701462046,1552.397;2679.251;-5.074;1085.105;479.489;258.017;774.485;1200.496;1445.850;1889.630;1515.318;2474.023;709.449;3248.042;82.415;2364.457;1481.701;1989.270;444.010;727.989;2832.695;3575.873;1147.167;2465.084;3240.969;3128.256;273.799;184.671;581.216;3246.494;317.188;1464.256;3400.653;1826.810;2590.180;1158.407;2372.228;3081.619;8.906;2604.087;3611.588;2682.279;1012.471;2923.517;334.019;1616.030;3292.068;1029.250;1082.243;424.610;-9.094;2569.616;822.253;939.344;1789.389;108.734;2048.733;585.751;2102.693;2542.360;359.999;1532.973;2473.686;1437.302;249.103;2025.243;2322.380;1796.023;3366.037;2145.552;3204.200;481.711;556.004;2844.655;1413.548;652.505;3297.758;1342.218;2693.305;2533.588;3080.728;2232.008;2820.799;1196.412;849.122;3266.345;1576.278;3576.922;2342.910;2292.872;379.967;3474.629;1662.526;2076.566;1462.739;906.090;3159.575;2091.624;5.354;2287.315,1152.116;1925.074;3285.164;1393.298;3343.759;2297.141;-10.796;3334.001;2428.847;3586.402;547.921;548.751;3282.947;2631.842;132.571;2678.704;2809.929;3304.811;2569.394;537.066;0.075;31.086;-15.778;942.598;3249.088;2019.868;1876.280;2976.581;416.480;982.414;2111.855;3576.432;1986.794;-0.623;2842.428;869.155;2976.062;1465.435;3023.058;2628.153;1932.663;500.657;205.203;430.463;246.546;323.900;797.630;2517.135;2047.858;2.460;367.253;3541.187;1975.428;707.866;889.821;2687.555;648.592;2212.094;3555.964;3069.121;828.456;1659.699;2268.341;2995.534;528.599;121.274;190.072;1854.249;2206.110;2059.152;1166.367;3602.657;1982.753;1273.907;1972.624;2691.560;2402.339;1010.343;267.537;1356.997;2233.527;761.802;2771.573;318.862;962.457;2922.472;758.118;2358.683;1839.068;3281.413;1050.178;282.316;2603.910;2733.996;3308.641;3427.806;56.888;956.694;2219.457;3517.865
12,19.98447561264038,11,-533.323945881446,533.323945881446,0.13414108882817274,1555.441;2695.525;-7.316;1069.405;486.430;265.006;789.747;1195.260;1453.980;1905.340;1531.720;2480.618;721.223;3264.042;66.039;2349.032;1465.757;1973.154;433.142;742.279;2832.922;3560.817;1162.721;2481.445;3257.333;3112.574;289.303;168.325;596.019;3260.491;303.197;1447.971;3387.727;1835.756;2579.190;1146.370;2356.843;3094.405;16.770;2600.960;3596.836;2681.412;996.029;2907.460;346.267;1600.832;3276.244;1014.000;1097.048;408.219;6.714;2572.402;838.345;923.648;1773.049;118.623;2049.410;570.127;2118.903;2558.495;369.069;1541.652;2457.951;1452.476;265.433;2034.389;2318.427;1782.931;3357.347;2161.959;3190.766;482.125;569.999;2856.262;1429.275;663.941;3306.998;1354.904;2689.391;2529.668;3085.318;2240.600;2828.043;1194.953;858.574;3279.990;1560.174;3593.317;2356.594;2306.751;363.939;3490.702;1647.927;2092.532;1462.619;902.971;3175.723;2077.870;17.417;2271.705,1166.687;1935.364;3299.272;1382.173;3328.356;2304.305;3.919;3326.079;2413.865;3601.979;531.634;561.371;3267.573;2635.902;122.631;2664.055;2802.189;3306.444;2563.073;552.446;-2.374;14.674;-2.395;930.321;3263.642;2034.833;1859.868;2963.401;400.134;981.158;2108.109;3592.652;1989.072;-4.696;2857.631;871.802;2992.186;1481.504;3037.006;2614.203;1917.648;489.017;204.352;415.055;251.140;307.831;794.036;2530.714;2059.565;9.065;383.655;3527.291;1959.095;722.947;875.205;2697.036;662.823;2222.438;3566.585;3077.981;820.273;1645.429;2263.047;3011.440;542.385;105.306;202.907;1868.744;2195.517;2052.410;1167.141;3590.219;1996.725;1260.035;1988.238;2690.383;2418.055;1015.914;281.223;1367.022;2224.474;745.665;2787.075;333.320;978.676;2938.118;742.689;2349.539;1824.050;3267.626;1064.893;291.074;2612.693;2747.664;3293.941;3444.175;73.289;972.952;2203.387;3507.114
13,21.694774389266968,12,-534.6337456310955,534.6337456310955,0.1179844465718827,1570.101;2698.473;8.700;1054.771;471.603;251.541;775.929;1198.674;1451.133;1892.219;1525.448;2465.397;737.082;3253.782;72.357;2332.897;1451.864;1975.595;448.497;745.877;2819.497;3574.680;1169.272;2496.435;3262.595;3114.729;305.539;175.785;583.748;3246.308;300.711;1437.997;3401.222;1824.935;2583.705;1148.193;2352.362;3102.604;15.195;2616.643;3601.209;2668.508;995.061;2917.942;337.429;1608.214;3289.598;1012.673;1105.781;416.643;-1.981;2587.775;849.723;928.516;1786.375;103.373;2064.325;565.342;2109.149;2554.131;354.589;1528.142;2472.833;1464.896;257.604;2033.579;2315.682;1795.015;3341.805;2149.673;3206.472;466.122;574.983;2852.562;1442.653;651.349;3320.599;1342.754;2705.147;2513.618;3071.760;2246.946;2843.759;1208.949;846.534;3296.196;1554.387;3606.395;2368.218;2323.052;355.762;3488.963;1655.293;2084.323;1469.116;917.829;3178.406;2076.278;4.127;2285.012,1156.387;1947.136;3306.921;1393.260;3339.648;2309.620;-4.901;3312.380;2408.742;3592.544;540.764;565.965;3267.374;2650.633;106.559;2654.138;2790.880;3316.129;2548.534;540.971;9.816;8.792;11.749;936.230;3279.189;2023.862;1850.089;2974.574;411.557;973.465;2104.973;3590.630;2002.387;5.745;2861.090;871.681;2978.257;1476.245;3035.016;2624.778;1904.205;476.440;189.605;398.913;266.789;317.820;785.416;2524.467;2074.092;6.221;374.999;3541.593;1952.132;710.490;888.434;2682.439;647.842;2238.114;3582.807;3091.493;835.675;1654.636;2246.947;3026.579;536.193;105.530;217.406;1853.378;2199.777;2066.896;1178.610;3589.601;1989.835;1258.421;2004.666;2676.633;2422.138;1001.142;269.791;1383.233;2238.636;760.718;2772.550;319.063;979.597;2947.690;734.646;2334.110;1829.455;3276.308;1073.025;277.342;2620.508;2763.818;3303.313;3447.442;76.027;979.701;2191.098;3490.988
14,23.553176641464233,13,-535.5040770824521,535.5040770824521,0.3130945081613967,1586.412;2684.781;15.910;1038.484;455.263;235.401;763.320;1214.619;1435.125;1876.793;1514.949;2449.356;722.881;3237.580;83.019;2335.152;1454.166;1990.510;464.706;753.518;2834.532;3590.341;1154.268;2493.452;3278.577;3130.025;292.119;191.862;567.536;3230.329;314.527;1448.674;3399.514;1834.407;2568.556;1162.184;2358.057;3118.711;-0.857;2602.570;3610.071;2652.343;1010.799;2933.974;323.634;1624.238;3305.911;1028.555;1091.532;427.199;-11.646;2604.155;858.304;940.779;1796.796;108.832;2049.589;580.900;2109.390;2538.887;338.259;1542.310;2488.391;1468.504;242.053;2049.343;2331.424;1810.279;3328.427;2160.153;3193.691;478.865;565.844;2868.100;1427.442;635.371;3331.496;1328.938;2721.409;2521.780;3056.258;2231.127;2860.181;1225.300;830.541;3312.253;1538.483;3594.996;2355.315;2337.332;370.509;3481.787;1639.819;2068.271;1485.211;902.543;3186.919;2092.196;-9.037;2300.195,1166.988;1936.768;3323.035;1409.487;3324.502;2322.946;10.781;3327.636;2414.420;3607.544;525.782;557.533;3283.273;2635.045;96.030;2651.893;2806.124;3301.023;2551.657;524.768;21.806;17.648;-3.145;951.198;3295.316;2009.894;1834.369;2990.787;424.754;957.627;2093.867;3597.128;1987.023;-8.893;2874.013;887.380;2962.000;1474.846;3019.081;2639.183;1914.884;480.787;183.143;404.620;267.389;309.742;771.422;2540.128;2063.540;-1.385;377.534;3541.324;1945.673;717.505;877.521;2666.062;652.501;2253.596;3578.731;3084.834;848.044;1642.937;2251.608;3016.740;520.282;121.057;233.736;1867.383;2212.601;2054.013;1194.136;3605.269;2004.212;1273.943;1989.129;2660.304;2420.875;984.843;253.556;1371.338;2254.899;770.603;2786.549;332.763;995.099;2963.838;718.828;2347.793;1815.737;3291.499;1061.443;288.352;2604.660;2752.979;3290.426;3432.717;61.135;995.717;2175.651;3502.161
