trial_id,run_id,seed,pd_level,t_start_iso,t_end_iso,t_climate_done_iso,t_layout_done_iso,t_bridge_done_iso,dt_climate_s,dt_layout_s,dt_bridge_s,dt_aep_total_s,dt_total_s,n_farms_total,n_new_farms,n_turbines_total,requested_mw,delivered_mw,delivered_pct,climate_scale,climate_extreme_modes,climate_mean_speed,climate_dominant_sector,climate_dominant_sector_freq
mc_20260807_0627_high_000000,mc_20260807_0627_high/task_0000,0,high,2026-08-07T06:28:31.783,2026-08-07T06:28:58.202,2026-08-07T06:28:31.788,2026-08-07T06:28:39.007,2026-08-07T06:28:39.015,0.01,7.22,0.01,19.19,26.42,20,7,1172,23616.0,3022.5,12.8,1.0,,9.167,7,0.1588
mc_20260807_0627_high_000001,mc_20260807_0627_high/task_0000,1,high,2026-08-07T06:28:58.212,2026-08-07T06:29:19.167,2026-08-07T06:28:58.216,2026-08-07T06:29:07.060,2026-08-07T06:29:07.060,0.0,8.84,0.0,12.11,20.96,21,8,953,23616.0,2768.8,11.72,1.0,,9.389,7,0.1549
mc_20260807_0627_high_000002,mc_20260807_0627_high/task_0000,2,high,2026-08-07T06:29:19.168,2026-08-07T06:30:02.081,2026-08-07T06:29:19.171,2026-08-07T06:29:26.325,2026-08-07T06:29:26.325,0.0,7.15,0.0,35.76,42.91,22,9,1610,23616.0,6851.8,29.01,1.0,,9.29,7,0.1711
mc_20260807_0627_high_000003,mc_20260807_0627_high/task_0000,3,high,2026-08-07T06:30:02.082,2026-08-07T06:30:35.325,2026-08-07T06:30:02.086,2026-08-07T06:30:09.756,2026-08-07T06:30:09.756,0.0,7.67,0.0,25.57,33.24,25,12,1432,23616.0,7344.2,31.1,1.0,,8.576,8,0.1722
mc_20260807_0627_high_000004,mc_20260807_0627_high/task_0000,4,high,2026-08-07T06:30:35.325,2026-08-07T06:31:06.346,2026-08-07T06:30:35.328,2026-08-07T06:30:41.553,2026-08-07T06:30:41.553,0.0,6.22,0.0,24.79,31.02,23,10,1489,23616.0,6852.0,29.01,1.0,,8.739,8,0.1365
